WAVE_INDEX	NODE_ID	HPG_ELAPSED_MS	HAPG_ELAPSED_MS
7	U03-0000000006_S04-0000000009	5692	0
7	U03-0000000006_S04-0000000010	5696	0
7	U03-0000000006_S04-0000000011	5729	0
7	U03-0000000006_S04-0000000012	5692	0
7	U03-0000000006_S04-0000000013	5711	0
7	U03-0000000006_S04-0000000014	5734	0
7	U03-0000000006_S04-0000000015	5688	0
7	U03-0000000007_S04-0000000000	5725	0
7	U03-0000000007_S04-0000000001	5683	0
7	U03-0000000007_S04-0000000002	5702	0
7	U03-0000000007_S04-0000000003	5723	0
7	U03-0000000007_S04-0000000004	5678	0
7	U03-0000000007_S04-0000000005	5681	0
7	U03-0000000007_S04-0000000006	5722	0
7	U03-0000000007_S04-0000000007	5722	0
7	U03-0000000007_S04-0000000008	5720	0
7	U03-0000000007_S04-0000000009	5719	0
7	U03-0000000007_S04-0000000010	5726	0
7	U03-0000000007_S04-0000000011	5774	0
7	U03-0000000007_S04-0000000012	5704	0
7	U03-0000000007_S04-0000000013	5727	0
7	U03-0000000007_S04-0000000014	5716	0
7	U03-0000000007_S04-0000000015	5892	0
