# engine	madaros-linux-x86_64@ff69dae4
# trees	stdlib examples tests/run-pass
file	rc	first_error_code	error_count	parse_errors	first_error_line	all_error_codes
examples/epistemic/proptest_demo.sio	1	E137	4	0		E137x4
examples/epistemic/prov_demo.sio	1	E137	4	0		E137x4
examples/epistemic/prov_elplus_demo.sio	0	none	0	0		
examples/epistemic/refutation_demo.sio	1	E137	7	0		E137x7
examples/epistemic/rk4_correlated_uncertainty.sio	1	E019	7	0		E019x7
examples/epistemic/roi_demo.sio	1	E137	13	0		E137x13
examples/epistemic/rupture_claims_verified.sio	0	none	0	0		
examples/epistemic/slsa_demo.sio	1	E137	4	0		E137x4
examples/epistemic/sobol_demo.sio	1	E137	7	0		E137x7
examples/epistemic/stats_demo.sio	1	E137	24	0		E137x24
examples/epistemic/traceability_demo.sio	1	E137	6	0		E137x6
examples/epistemic/traceability_elplus_demo.sio	0	none	0	0		
examples/epistemic_bmi.sio	1	E245	5	0		E245x2,E036x2,E012x1
examples/epistemic_classifier.sio	0	none	0	0		
examples/epistemic_ddi_simulator.sio	0	none	0	0		
examples/epistemic_dempster_shafer.sio	1	PARSE	0	10	15	PARSEx10
examples/epistemic_fo_second_order/fo_pk_exposure_driver.sio	1	E245	1	0		E245x1
examples/epistemic_fo_second_order/fo_pk_exposure_import_driver.sio	1	E245	1	0		E245x1
examples/epistemic_fo_second_order/fo_pk_import_auc_thalf_driver.sio	0	none	0	0		
examples/epistemic_fo_second_order/fo_pk_import_auct_driver.sio	0	none	0	0		
examples/epistemic_fo_second_order/fo_pk_import_cmax_driver.sio	0	none	0	0		
examples/epistemic_fo_second_order/fo_pk_import_fss_driver.sio	0	none	0	0		
examples/epistemic_fo_second_order/fo_pk_import_ld_driver.sio	0	none	0	0		
examples/epistemic_fo_second_order/fo_pk_import_method_driver.sio	0	none	0	0		
examples/epistemic_fo_second_order/fo_pk_import_mrt_driver.sio	0	none	0	0		
examples/epistemic_fo_second_order/fo_pk_import_ptr_driver.sio	0	none	0	0		
examples/epistemic_fo_second_order/fo_pk_import_rac_driver.sio	0	none	0	0		
