LEAF_INDEX	LEAF_ID	X0_Q	Y0_Q	STEPS	EVENT1_TIME_Q	EVENT2_TIME_Q	X2_Q	Y2_Q	ELL2_Q	FLAGS	DETERMINANT	DECIMAL_DETERMINANT	ABS_DELTA	INSIDE_BOTH_CAPD	REFERENCE_PASS
100	U07-0000000102_S08-0000000167	16600033749833	12026362951228	6744	2646998054592	7240341346304	12534162986477	7393202412368	-20281193160655	7	-2.8376178390564972e-11	-2.8376176862416677e-11	1.5281482947203525e-18	true	true
101	U07-0000000102_S08-0000000168	16597606995898	12027229953653	6744	2647001085504	7240344328768	12534161876031	7393201168476	-20281342377001	7	-2.8369906597172224e-11	-2.8369904878954168e-11	1.7182180562055918e-18	true	true
102	U07-0000000102_S08-0000000169	16595180241963	12028096956079	6744	2647004112896	7240347308352	12534160750573	7393199906636	-20281491610448	7	-2.8363634994167909e-11	-2.836363358736913e-11	1.4067987792085036e-18	true	true
103	U07-0000000102_S08-0000000170	16592753488028	12028963958504	6744	2647007140352	7240350287808	12534159565094	7393198578514	-20281640833055	7	-2.8357364707706774e-11	-2.8357362987594797e-11	1.7201119766909114e-18	true	true
104	U07-0000000102_S08-0000000171	16590326734093	12029830960930	6744	2647010163840	7240353263808	12534158367700	7393197237542	-20281790073940	7	-2.8351094543865103e-11	-2.8351093079564385e-11	1.464300717703919e-18	true	true
105	U07-0000000102_S08-0000000172	16587899980158	12030697963355	6744	2647013185856	7240356238656	12534157130235	7393195850558	-20281939316188	7	-2.8344825208250476e-11	-2.8344823863211112e-11	1.3450393647184977e-18	true	true
106	U07-0000000102_S08-0000000173	16585473226223	12031564965780	6744	2647016207488	7240359213120	12534155839060	7393194403445	-20282088551965	7	-2.833855702248864e-11	-2.8338555338468182e-11	1.6840204580533919e-18	true	true
107	U07-0000000102_S08-0000000174	16583046472288	12032431968206	6744	2647019225280	7240362184192	12534154534091	7393192941866	-20282237804598	7	-2.8332289010907769e-11	-2.8332287505268794e-11	1.5056389751122028e-18	true	true
108	U07-0000000102_S08-0000000175	16580619718353	12033298970631	6744	2647022241280	7240365153728	12534153192642	7393191438921	-20282387060790	7	-2.8326021734110358e-11	-2.8326020363546145e-11	1.370564213254975e-18	true	true
109	U07-0000000103_S08-0000000161	16614547935683	12021110190460	6744	2646992750848	7240334953216	12534366123670	7393430019130	-20280248948201	7	-2.841303091842425e-11	-2.8413029390004927e-11	1.52841932238676e-18	true	true
