LEAF_INDEX	STEPS	EVENT1_TIME	EVENT2_TIME	X2	Y2	ELL2	DETERMINANT	DECIMAL_DETERMINANT	ABS_DELTA	INSIDE_BOTH_CAPD
155	6744	2.4074722027289681	6.5850886448752135	11.400474375515842	6.7248846441589194	-18.445188135839089	-2.8385551064659609e-11	-2.8385549255086614e-11	1.8095729945798963e-18	true
156	6744	2.4074749638675712	6.5850913615431637	11.40047346789288	6.7248836266544458	-18.445323842507605	-2.8379278072970804e-11	-2.8379276399645374e-11	1.6733254295545618e-18	true
157	6744	2.4074777232017368	6.5850940765230916	11.400472528620412	6.7248825744818532	-18.445459553054206	-2.8373005775366349e-11	-2.8373004236215838e-11	1.5391505109568209e-18	true
158	6744	2.4074804808478802	6.5850967900478281	11.400471556570665	6.7248814853937802	-18.445595266964119	-2.836673420372494e-11	-2.8366732764731241e-11	1.4389936987807045e-18	true
159	6744	2.4074832366313785	6.5850995020009577	11.400470553388004	6.72488036131017	-18.445730985673435	-2.8360463300044156e-11	-2.8360461985124809e-11	1.3149193469335294e-18	true
160	6744	2.4074859921820462	6.585102213663049	11.400469500271356	6.7248791810916373	-18.445866697328711	-2.8354193592096653e-11	-2.8354191897329765e-11	1.6947668880724739e-18	true
161	6744	2.4074887441820465	6.5851049222401343	11.400468435646872	6.7248779888041099	-18.446002425039296	-2.8347924027504193e-11	-2.8347922501279319e-11	1.5262248736139679e-18	true
162	6744	2.407491494959686	6.5851076298276894	11.400467332191511	6.7248767523087736	-18.446138153036372	-2.8341655340416621e-11	-2.8341653796906681e-11	1.5435099401930829e-18	true
163	6744	2.4074942430015653	6.585110335086938	11.400466208598118	6.7248754931069925	-18.446273891829151	-2.8335387039501747e-11	-2.8335385784145046e-11	1.2553567011994399e-18	true
164	6744	2.40749699115986	6.5851130402879789	11.400465030157648	6.7248741729581525	-18.446409620728446	-2.8329120059978792e-11	-2.8329118462927612e-11	1.5970511795880552e-18	true
165	6744	2.4074997362331487	6.5851157429278828	11.400463835522714	6.7248728342892719	-18.446545363134646	-2.8322853351008763e-11	-2.8322851833187566e-11	1.5178211968042208e-18	true
166	6744	2.4074756601476111	6.5850909815635532	11.400656295676526	6.7250884759732799	-18.444736532626848	-2.8403579855493497e-11	-2.8403578147367025e-11	1.7081264721194904e-18	true
167	6744	2.4074784269323573	6.5850937030627392	11.40065549249266	6.7250875762647411	-18.444872227636552	-2.8397304835434975e-11	-2.8397303343489813e-11	1.4919451616301008e-18	true
168	6744	2.4074811929604039	6.5850964238634333	11.400654645528448	6.7250866273570864	-18.445007919083764	-2.8391030850077597e-11	-2.8391029231824748e-11	1.6182528494323808e-18	true
169	6744	2.4074839559034444	6.5850991420447826	11.40065378161944	6.725085659260003	-18.445143623372132	-2.8384757160547601e-11	-2.8384755812305076e-11	1.3482425247053813e-18	true
170	6744	2.4074867184390314	6.5851018598186783	11.4006528701957	6.725084637877444	-18.445279322290844	-2.8378484594200793e-11	-2.8378483084864049e-11	1.5093367438689533e-18	true
171	6744	2.4074894789955579	6.5851045759045519	11.400651929370724	6.7250835835620819	-18.445415026967567	-2.8372212650227301e-11	-2.83722110494349e-11	1.6007924011763589e-18	true
172	6744	2.4074922371073626	6.585107289836742	11.400650963766566	6.7250825017554234	-18.445550739678765	-2.8365941215435637e-11	-2.836593970595087e-11	1.5094847671933348e-18	true
173	6744	2.4074949937639758	6.5851100024883635	11.400649962180978	6.7250813801438198	-18.445686454043425	-2.8359670583430648e-11	-2.8359669054345174e-11	1.5290854741985037e-18	true
174	6744	2.4074977492564358	6.5851127140922472	11.400648921562606	6.7250802141543318	-18.445822167978804	-2.8353400851034843e-11	-2.8353399094551037e-11	1.7564838061585099e-18	true
