sample	kpc_before_rc	kpc_after_rc	kpc_before_cpu	kpc_after_cpu	kpc_accepted	thread_before_rc	thread_after_rc	thread_cycles_delta	thread_instructions_delta	absolute_time_delta	uptime_raw_delta
305	-1	-1	-1	-1	0	88	88	1330	4612	3	83
306	-1	-1	-1	-1	0	88	88	1329	4612	3	83
307	-1	-1	-1	-1	0	88	88	1356	4611	2	83
308	-1	-1	-1	-1	0	88	88	1363	4611	3	84
309	-1	-1	-1	-1	0	88	88	1325	4612	3	83
310	-1	-1	-1	-1	0	88	88	1335	4612	2	84
311	-1	-1	-1	-1	0	88	88	1327	4612	3	125
312	-1	-1	-1	-1	0	88	88	1322	4612	3	83
313	-1	-1	-1	-1	0	88	88	1330	4612	3	83
314	-1	-1	-1	-1	0	88	88	1324	4612	3	83
315	-1	-1	-1	-1	0	88	88	1331	4612	2	84
316	-1	-1	-1	-1	0	88	88	2287	4611	5	167
317	-1	-1	-1	-1	0	88	88	1552	4611	2	0
318	-1	-1	-1	-1	0	88	88	1335	4612	2	83
319	-1	-1	-1	-1	0	88	88	1334	4612	3	84
320	-1	-1	-1	-1	0	88	88	1489	4611	3	84
321	-1	-1	-1	-1	0	88	88	1347	4611	3	84
322	-1	-1	-1	-1	0	88	88	1331	4612	3	83
323	-1	-1	-1	-1	0	88	88	1330	4612	3	83
324	-1	-1	-1	-1	0	88	88	1838	4622	3	84
325	-1	-1	-1	-1	0	88	88	1358	4611	3	125
326	-1	-1	-1	-1	0	88	88	1322	4612	2	83
327	-1	-1	-1	-1	0	88	88	1338	4612	3	125
328	-1	-1	-1	-1	0	88	88	1356	4611	3	83
329	-1	-1	-1	-1	0	88	88	1350	4611	3	84
330	-1	-1	-1	-1	0	88	88	1319	4612	3	125
331	-1	-1	-1	-1	0	88	88	1320	4612	3	83
332	-1	-1	-1	-1	0	88	88	1358	4611	3	83
333	-1	-1	-1	-1	0	88	88	1355	4611	3	83
334	-1	-1	-1	-1	0	88	88	1330	4612	3	83
335	-1	-1	-1	-1	0	88	88	1327	4612	3	125
336	-1	-1	-1	-1	0	88	88	1352	4611	3	83
337	-1	-1	-1	-1	0	88	88	1458	4612	3	125
338	-1	-1	-1	-1	0	88	88	1326	4612	3	83
339	-1	-1	-1	-1	0	88	88	1501	4611	3	125
340	-1	-1	-1	-1	0	88	88	1359	4611	2	83
341	-1	-1	-1	-1	0	88	88	1328	4612	3	125
342	-1	-1	-1	-1	0	88	88	1328	4612	2	83
343	-1	-1	-1	-1	0	88	88	1335	4612	3	125
344	-1	-1	-1	-1	0	88	88	1324	4612	2	83
345	-1	-1	-1	-1	0	88	88	1326	4612	3	125
346	-1	-1	-1	-1	0	88	88	1352	4611	3	83
347	-1	-1	-1	-1	0	88	88	1366	4611	3	83
348	-1	-1	-1	-1	0	88	88	1327	4612	3	83
349	-1	-1	-1	-1	0	88	88	1345	4612	3	83
350	-1	-1	-1	-1	0	88	88	1348	4611	2	83
351	-1	-1	-1	-1	0	88	88	1380	4611	3	83
352	-1	-1	-1	-1	0	88	88	1328	4612	3	125
353	-1	-1	-1	-1	0	88	88	1319	4612	2	83
354	-1	-1	-1	-1	0	88	88	1355	4611	3	83
355	-1	-1	-1	-1	0	88	88	1445	4612	3	125
356	-1	-1	-1	-1	0	88	88	1334	4612	3	125
357	-1	-1	-1	-1	0	88	88	1502	4611	3	125
358	-1	-1	-1	-1	0	88	88	1358	4611	2	83
359	-1	-1	-1	-1	0	88	88	1324	4612	2	83
360	-1	-1	-1	-1	0	88	88	1326	4612	3	125
361	-1	-1	-1	-1	0	88	88	1361	4611	3	83
362	-1	-1	-1	-1	0	88	88	1348	4611	3	83
363	-1	-1	-1	-1	0	88	88	1336	4612	3	125
364	-1	-1	-1	-1	0	88	88	1332	4612	3	83
365	-1	-1	-1	-1	0	88	88	1356	4611	3	83
366	-1	-1	-1	-1	0	88	88	1452	4612	3	84
367	-1	-1	-1	-1	0	88	88	1325	4612	3	83
368	-1	-1	-1	-1	0	88	88	1320	4612	3	83
369	-1	-1	-1	-1	0	88	88	1349	4611	3	83
370	-1	-1	-1	-1	0	88	88	1455	4612	3	84
371	-1	-1	-1	-1	0	88	88	1330	4612	3	83
372	-1	-1	-1	-1	0	88	88	1500	4611	3	83
373	-1	-1	-1	-1	0	88	88	1360	4611	3	125
374	-1	-1	-1	-1	0	88	88	1330	4612	2	83
375	-1	-1	-1	-1	0	88	88	1325	4612	3	83
376	-1	-1	-1	-1	0	88	88	1503	4611	3	125
377	-1	-1	-1	-1	0	88	88	1355	4611	3	83
378	-1	-1	-1	-1	0	88	88	1331	4612	3	83
379	-1	-1	-1	-1	0	88	88	1337	4612	3	83
380	-1	-1	-1	-1	0	88	88	1335	4612	3	83
381	-1	-1	-1	-1	0	88	88	1327	4612	3	84
382	-1	-1	-1	-1	0	88	88	1331	4612	3	84
383	-1	-1	-1	-1	0	88	88	1330	4612	3	83
384	-1	-1	-1	-1	0	88	88	1333	4612	3	83
385	-1	-1	-1	-1	0	88	88	1337	4612	3	83
386	-1	-1	-1	-1	0	88	88	1324	4612	3	83
387	-1	-1	-1	-1	0	88	88	1321	4612	3	125
388	-1	-1	-1	-1	0	88	88	1327	4612	3	84
389	-1	-1	-1	-1	0	88	88	1331	4612	3	83
390	-1	-1	-1	-1	0	88	88	1323	4612	3	84
391	-1	-1	-1	-1	0	88	88	1332	4612	2	83
392	-1	-1	-1	-1	0	88	88	1332	4612	3	125
393	-1	-1	-1	-1	0	88	88	1334	4612	3	83
394	-1	-1	-1	-1	0	88	88	1331	4612	3	84
395	-1	-1	-1	-1	0	88	88	1327	4612	3	84
396	-1	-1	-1	-1	0	88	88	1334	4612	3	125
397	-1	-1	-1	-1	0	88	88	1322	4612	3	83
398	-1	-1	-1	-1	0	88	88	1335	4612	3	83
399	-1	-1	-1	-1	0	88	88	1324	4612	3	125
400	-1	-1	-1	-1	0	88	88	1336	4612	2	84
401	-1	-1	-1	-1	0	88	88	1326	4612	3	125
402	-1	-1	-1	-1	0	88	88	1331	4612	3	83
403	-1	-1	-1	-1	0	88	88	1324	4612	2	83
404	-1	-1	-1	-1	0	88	88	1342	4612	3	125
405	-1	-1	-1	-1	0	88	88	1326	4612	3	84
406	-1	-1	-1	-1	0	88	88	1340	4612	3	125
407	-1	-1	-1	-1	0	88	88	1325	4612	3	83
408	-1	-1	-1	-1	0	88	88	1331	4612	3	83
409	-1	-1	-1	-1	0	88	88	1324	4612	3	83
410	-1	-1	-1	-1	0	88	88	1328	4612	3	83
411	-1	-1	-1	-1	0	88	88	1326	4612	3	83
412	-1	-1	-1	-1	0	88	88	1324	4612	3	83
413	-1	-1	-1	-1	0	88	88	1327	4612	3	83
414	-1	-1	-1	-1	0	88	88	1330	4612	3	84
415	-1	-1	-1	-1	0	88	88	1332	4612	3	84
416	-1	-1	-1	-1	0	88	88	1325	4612	3	83
