NODE_ID	WAVE_INDEX	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	INPUT_SHA256	RC	STDERR_SHA256	NORMALIZED_CLASS
U03-0000000003_S03-0000000000	6	3	3	3	0	f981c33502b5bfe9348c22091d116cd472e9a11f713dab77c29415d6398ff0b0	1	1afc6df9589bce2f21562c053ed93cb06e905d65d273231e201f5fff58253575	H_PG_CAPD_SET
U03-0000000003_S03-0000000001	6	3	3	3	1	4a8621d34f57f3e0cac2de6e921e434e460fbd0cf45f31cb0c2ac3a0532b8ea5	1	8c114b93cee4d5be5f0f254065368c3e8888af3d736f9c28af65d2f18f364faf	H_PG_CAPD_SET
U03-0000000003_S03-0000000002	6	3	3	3	2	1ad4185b5a1e1157a6df9b24e1373d91730134adb381062c32e8fb7aea7e9e49	1	4a50e45097af588e1e96fab3fea37ece088a9a86ae9313792f6f820e18d92b11	H_PG_CAPD_SET
U03-0000000003_S03-0000000003	6	3	3	3	3	a32a25f558dc4fd53b6d5ebfa36fa27317481c077e1d84e9fcf47c732b6996b6	1	48530a7f6020c794e8dc18f799cf27b433cfe53be7ca54b930448a1d21e8c129	H_PG_CAPD_SET
U03-0000000003_S03-0000000004	6	3	3	3	4	aa879f925c9a5f406eb7e85541844f468119de0d4501e6301d19ee5586ccd945	1	90aa697c3d2b5ba830b0fd4e4efe59c1737eb9bc4e0fa75bc9947838d7574d49	H_PG_CAPD_SET
U03-0000000003_S03-0000000005	6	3	3	3	5	dfa4e22b4454028e454bcb79a80267fe8cd1c3adcd1e5fc0a6b1b96d5575dc1a	1	85af8f22c5fff11fcef9f94f1fa29119009a1eaa8284d7d036ea66c54d384736	H_PG_CAPD_SET
U03-0000000003_S03-0000000006	6	3	3	3	6	ab3b3470e6399c8dd6c0862af270b5eaffa7206f0cbec557d900dfbafcd36a58	1	34c2b4e8ab949a37d25e246f7ccc4fde72df738dd1cc995a3e9d1d3cd49ae499	H_PG_CAPD_SET
U03-0000000003_S03-0000000007	6	3	3	3	7	aa148d21458528a9728a1aa8c759a29b51f33e1c8a903254c812621dc8c727bb	1	0b73f0dfaf4ff51b8872c76af941f7d515fe08dd7655e8e0e0d3ec43befe3732	H_PG_CAPD_SET
U03-0000000004_S03-0000000000	6	3	4	3	0	fae4cd01995140bbf0f3541bc31e1941c5cd8b828c4a0d593668d62c84cbf954	1	99c2756a75f7bcf51446b4f403f3810a014d1179e5d04ca3f1ef078969007fce	H_PG_CAPD_SET
U03-0000000004_S03-0000000001	6	3	4	3	1	4ece44b5036eedbff529e4aa0e8378ab98a36b0eea9a21e089028c069bed077c	1	9d39d3998e4377af54890018a2098d52510829e815bfe1346dba12ed90729945	H_PG_CAPD_SET
U03-0000000004_S03-0000000002	6	3	4	3	2	aaaf2272a059fb024107b603e8b4b12cf90601a998110cbc3d1701a892a27ee2	1	4f2120fc9b85ff874f6c827eb8462bdbf11dc992c6f2e6c6e2019078b5d3bc2a	H_PG_CAPD_SET
U03-0000000004_S03-0000000003	6	3	4	3	3	ea29aa0cb33995129edf6c556d4ef07066f35355c1bf488afacf818c56e61e23	1	580088c3d44e6d401f55eaffa31bd22a6394aa33ada99f5457a546bd4f753534	H_PG_CAPD_SET
U03-0000000004_S03-0000000004	6	3	4	3	4	def4259198b524b84f052c55441a1e0a2aff8235c1da6b19c6821bc407a4473b	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U03-0000000004_S03-0000000005	6	3	4	3	5	aabf4662ffe21e70409236d6e5093b9881ac929c7691decdcb5a1d708af34f78	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U03-0000000004_S03-0000000006	6	3	4	3	6	8425aa381dee6d5b27adfb4e4aef1458db2e42f277f290ce66954d6515aed87d	1	efd4920d73a72981028d87134ad5e5caeb221088f533a97d6e413ce98ac1ee0d	H_PG_CAPD_SET
U03-0000000004_S03-0000000007	6	3	4	3	7	c96aa0eff5b6ff0ec62d0dd67a163dc7db04692a2308628d10c3a93df55642ff	1	146778b82455c581e049a730707d50c61eacf6e8e7f7b5dce1d2f47f889969d3	H_PG_CAPD_SET
U03-0000000005_S03-0000000000	6	3	5	3	0	71723fdb72bb70e6d6ae7f447b67606a4c6856c1205a0679b44f377b814743f9	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U03-0000000005_S03-0000000001	6	3	5	3	1	fae4f737055895ef76e9853cad1f85f69d0cc0bd5ced18ee01a4f84ac76d2884	1	0ca9228cdf8f325a696882c5703f6924935958007a354b308fb8fc4887d2a211	H_PG_CAPD_SET
U03-0000000005_S03-0000000002	6	3	5	3	2	b2503058bb3c6395d4e455344bf138a0c6d9a3d35a14c703ebf4cf80173045c0	1	03bec34d00b7435ac8e9cec72963f9d339c95b30b95a91f9eb3255ff3c940993	H_PG_CAPD_SET
