file	a_compile	nv2_compile	a_run	nv2_run	stdout_match	exit_match	category
tests/native-v2/f64_ladder/knowledge_f64_struct.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/f64_ladder/knowledge_generic_f64.sio	1	0	-	0	-	-	a_only
tests/native-v2/f64_ladder/f64_literal_print.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/f64_ladder/f64_comparison.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/f64_ladder/f64_arithmetic.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/basic_math_v2_smoke.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/gum_primitives/sqrt_f64_smoke.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/gum_primitives/gum_addition.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/gum_primitives/gum_multiplication.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/gum_primitives/pbpk_epistemic_gum.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/aarch64_macho_preview_emit.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/option_box_chain_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/option_box_match_deref_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/aggregate_array_field_assignment_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/local_option_box_expr_assignment_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/local_struct_offset_option_field_assignment_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/local_struct_many_option_field_assignment_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/local_struct_option_field_assignment_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/local_expr_left_assignment_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/accel_spine/pbpk_gum_batch_oracle.sio	1	0	-	0	-	-	a_only
tests/native-v2/accel_spine/epistemic_vec_oracle.sio	1	0	-	0	-	-	a_only
tests/native-v2/option_box_ptr_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/science_spine/monotone_independence.sio	0	0	0	0	0	1	nv2_run
